title,rental_date,rating,length,rental_duration,special_features,category_id
"ACADEMY DINOSAUR","2005-07-08 19:03:15",PG,86,6,"Deleted Scenes,Behind the Scenes",6
"ACE GOLDFINGER","2005-08-01 04:24:47",G,48,3,"Trailers,Deleted Scenes",11
"ADAPTATION HOLES","2005-07-27 01:21:19",NC-17,50,7,"Trailers,Deleted Scenes",6
"AFFAIR PREJUDICE","2005-07-12 02:40:41",G,117,5,"Commentaries,Behind the Scenes",11
"AFRICAN EGG","2005-05-28 07:53:38",G,130,6,"Deleted Scenes",8
"AGENT TRUMAN","2005-05-26 23:23:56",PG,169,3,"Deleted Scenes",9
"AIRPLANE SIERRA","2005-08-02 07:34:19",PG-13,62,6,"Trailers,Deleted Scenes",5
"AIRPORT POLLOCK","2005-05-25 19:37:47",R,54,6,Trailers,11
"ALABAMA DEVIL","2005-07-10 12:10:11",PG-13,114,3,"Trailers,Deleted Scenes",11
"ALADDIN CALENDAR","2005-06-17 08:06:53",NC-17,63,6,"Trailers,Deleted Scenes",15
"ALAMO VIDEOTAPE","2005-05-28 09:10:49",G,126,6,"Commentaries,Behind the Scenes",9
"ALASKA PHANTOM","2005-07-26 23:13:34",PG,136,6,"Commentaries,Deleted Scenes",12
"ALI FOREVER","2005-07-31 18:11:17",PG,150,4,"Deleted Scenes,Behind the Scenes",11
"ALICE FANTASIA",NULL,NC-17,94,6,"Trailers,Deleted Scenes,Behind the Scenes",4
"ALIEN CENTER","2005-05-28 02:06:37",NC-17,46,5,"Trailers,Commentaries,Behind the Scenes",9
"ALLEY EVOLUTION","2005-07-31 20:49:13",NC-17,180,6,"Trailers,Commentaries",9
"ALONE TRIP","2005-08-01 14:39:15",R,82,3,"Trailers,Behind the Scenes",12
"ALTER VICTORY","2005-05-28 21:31:08",PG-13,57,6,"Trailers,Behind the Scenes",2
"AMADEUS HOLY","2005-08-02 01:16:59",PG,113,6,"Commentaries,Deleted Scenes,Behind the Scenes",1
"AMELIE HELLFIGHTERS","2005-06-18 01:57:56",R,79,4,"Commentaries,Deleted Scenes,Behind the Scenes",12
"AMERICAN CIRCUS","2005-05-26 08:04:38",R,129,3,"Commentaries,Behind the Scenes",1
"AMISTAD MIDSUMMER","2005-06-15 07:29:59",G,85,6,"Commentaries,Behind the Scenes",13
"ANACONDA CONFESSIONS","2005-06-15 14:05:32",R,92,3,"Trailers,Deleted Scenes",2
"ANALYZE HOOSIERS","2005-06-20 11:13:01",R,181,6,"Trailers,Behind the Scenes",11
"ANGELS LIFE","2005-07-06 15:41:27",G,74,3,Trailers,13
"ANNIE IDENTITY","2005-05-29 02:11:44",G,86,3,"Commentaries,Deleted Scenes",14
"ANONYMOUS HUMAN","2005-06-17 01:17:31",NC-17,179,7,"Deleted Scenes,Behind the Scenes",15
"ANTHEM LUKE","2005-05-25 14:57:22",PG-13,91,5,"Deleted Scenes,Behind the Scenes",5
"ANTITRUST TOMATOES","2005-05-31 16:48:43",NC-17,168,5,"Trailers,Commentaries,Deleted Scenes",1
"ANYTHING SAVANNAH","2005-06-16 14:11:24",R,82,4,"Trailers,Deleted Scenes,Behind the Scenes",11
"APACHE DIVINE","2005-05-25 01:59:46",NC-17,92,5,"Commentaries,Deleted Scenes,Behind the Scenes",8
